Hour,Feature,Coefficient,AbsoluteCoefficient,Rank
Hour_5,hour Iws,-0.07425780641731274,0.07425780641731274,49
Hour_5,hour PRES,0.06774422017271639,0.06774422017271639,50
Hour_5,day,0.06637024763039426,0.06637024763039426,51
Hour_5,month Iws,0.05802242744596192,0.05802242744596192,52
Hour_5,hour Ir,-0.05400782986996458,0.05400782986996458,53
Hour_5,PRES Is,-0.05250194895410777,0.05250194895410777,54
Hour_5,day PRES,0.04670867140259947,0.04670867140259947,55
Hour_5,Is Ir,-0.04615471538055093,0.04615471538055093,56
Hour_5,TEMP Ir,0.045992478973779435,0.045992478973779435,57
Hour_5,Iws^2,0.03991600033007809,0.03991600033007809,58
Hour_5,DEWP Iws,0.0325644097626171,0.0325644097626171,59
Hour_5,day^2,-0.02482473799172282,0.02482473799172282,60
Hour_5,hour pm2.5,-0.020281719445094763,0.020281719445094763,61
Hour_5,hour Is,-0.01738865913973612,0.01738865913973612,62
Hour_5,PRES Iws,0.017050282645770062,0.017050282645770062,63
Hour_5,day Ir,-0.009041778349146322,0.009041778349146322,64
Hour_5,Ir^2,0.0059601363095204045,0.0059601363095204045,65
Hour_5,Is^2,0.005756075626613011,0.005756075626613011,66
Hour_5,day hour,-0.0030598514223492404,0.0030598514223492404,67
Hour_5,month Is,0.0027462054021686333,0.0027462054021686333,68
Hour_5,day Iws,0.0010696701695171592,0.0010696701695171592,69
Hour_6,pm2.5,1.6546745412034694,1.6546745412034694,1
Hour_6,cbwd_NW,-0.7629691903353863,0.7629691903353863,2
Hour_6,cbwd_SE,0.7382790194390533,0.7382790194390533,3
Hour_6,DEWP,0.47276995242849806,0.47276995242849806,4
Hour_6,pm2.5^2,-0.36713659831692685,0.36713659831692685,5
Hour_6,hour DEWP,-0.32506515811392467,0.32506515811392467,6
Hour_6,cbwd_cv,0.3123631019075349,0.3123631019075349,7
Hour_6,DEWP^2,0.28908967849336625,0.28908967849336625,8
Hour_6,hour TEMP,0.28666471232875995,0.28666471232875995,9
Hour_6,cbwd_NE,-0.2810268163947985,0.2810268163947985,10
Hour_6,month^2,0.18829829646620852,0.18829829646620852,11
Hour_6,PRES^2,-0.17281580938642155,0.17281580938642155,12
Hour_6,month,-0.16969401049948601,0.16969401049948601,13
Hour_6,Ir,-0.1633156984158097,0.1633156984158097,14
Hour_6,Iws,-0.15784791655243513,0.15784791655243513,15
Hour_6,month Ir,-0.14950439859686104,0.14950439859686104,16
Hour_6,pm2.5 PRES,0.1419453696366441,0.1419453696366441,17
Hour_6,day pm2.5,0.13746507333165953,0.13746507333165953,18
Hour_6,pm2.5 Iws,0.13197690507858104,0.13197690507858104,19
Hour_6,Iws Is,0.13006734025734068,0.13006734025734068,20
Hour_6,month day,0.12846392505721416,0.12846392505721416,21
Hour_6,month pm2.5,0.12751090922998942,0.12751090922998942,22
Hour_6,Iws Ir,-0.12350057502049866,0.12350057502049866,23
Hour_6,hour,0.11770056314517821,0.11770056314517821,24
Hour_6,day DEWP,-0.11191215825697176,0.11191215825697176,25
Hour_6,TEMP,-0.09714154050398292,0.09714154050398292,26
Hour_6,TEMP^2,-0.096170508352253,0.096170508352253,27
Hour_6,month PRES,0.09405727119458888,0.09405727119458888,28
Hour_6,pm2.5 Ir,-0.09319580645319271,0.09319580645319271,29
Hour_6,DEWP Ir,-0.08956648492972262,0.08956648492972262,30
Hour_6,month DEWP,-0.08890354686605915,0.08890354686605915,31
Hour_6,day TEMP,0.08563167635632113,0.08563167635632113,32
Hour_6,hour^2,-0.08443504541587649,0.08443504541587649,33
Hour_6,pm2.5 DEWP,-0.0822016122528708,0.0822016122528708,34
Hour_6,pm2.5 TEMP,0.07708086757395233,0.07708086757395233,35
Hour_6,month TEMP,0.07536235287025132,0.07536235287025132,36
Hour_6,TEMP Ir,0.07514391320304054,0.07514391320304054,37
Hour_6,DEWP Is,-0.07409794768979437,0.07409794768979437,38
Hour_6,month Iws,0.07013159643551753,0.07013159643551753,39
Hour_6,DEWP Iws,0.06034906624994636,0.06034906624994636,40
Hour_6,DEWP PRES,0.053295854786649846,0.053295854786649846,41
Hour_6,hour Ir,-0.05134845475924913,0.05134845475924913,42
Hour_6,PRES,0.05065855523217233,0.05065855523217233,43
Hour_6,TEMP Iws,0.046735348185441915,0.046735348185441915,44
Hour_6,TEMP PRES,-0.04637574715492303,0.04637574715492303,45
Hour_6,Is,0.045821980004396044,0.045821980004396044,46
Hour_6,hour pm2.5,-0.04239625014887079,0.04239625014887079,47
Hour_6,month hour,0.03895707310629473,0.03895707310629473,48
Hour_6,Iws^2,0.037598869655055246,0.037598869655055246,49
Hour_6,day,0.036874951843917654,0.036874951843917654,50
Hour_6,day^2,-0.034788455651502015,0.034788455651502015,51
Hour_6,DEWP TEMP,-0.03460473590830775,0.03460473590830775,52
Hour_6,hour Iws,-0.03402447948089565,0.03402447948089565,53
Hour_6,pm2.5 Is,-0.026839625907915773,0.026839625907915773,54
Hour_6,day Is,0.025845647312886296,0.025845647312886296,55
Hour_6,month Is,-0.023646433598547834,0.023646433598547834,56
Hour_6,PRES Iws,-0.021226799887368523,0.021226799887368523,57
Hour_6,PRES Ir,0.019572855105128958,0.019572855105128958,58
Hour_6,day Iws,-0.017660524091249224,0.017660524091249224,59
Hour_6,day Ir,0.011340732598542746,0.011340732598542746,60
Hour_6,TEMP Is,-0.011094316439040477,0.011094316439040477,61
Hour_6,hour Is,0.005864341374066917,0.005864341374066917,62
Hour_6,Is Ir,0.005863408886811605,0.005863408886811605,63
Hour_6,hour PRES,-0.005841237077586768,0.005841237077586768,64
Hour_6,Is^2,-0.003563078942980952,0.003563078942980952,65
Hour_6,PRES Is,0.0028266271676610243,0.0028266271676610243,66
Hour_6,day PRES,0.0016335122441335605,0.0016335122441335605,67
Hour_6,day hour,-0.0013903869266056945,0.0013903869266056945,68
Hour_6,Ir^2,0.0010935402989673318,0.0010935402989673318,69
Hour_7,pm2.5,1.5043177788986937,1.5043177788986937,1
Hour_7,cbwd_NW,-0.7637478758138817,0.7637478758138817,2
Hour_7,cbwd_SE,0.7577438000905125,0.7577438000905125,3
Hour_7,DEWP,0.41060391014035774,0.41060391014035774,4
Hour_7,pm2.5^2,-0.3442492486766206,0.3442492486766206,5
Hour_7,DEWP^2,0.33357812422683997,0.33357812422683997,6
Hour_7,hour TEMP,0.30449344014004753,0.30449344014004753,7
Hour_7,hour DEWP,-0.30140634180986314,0.30140634180986314,8
Hour_7,cbwd_cv,0.2795584590508187,0.2795584590508187,9
Hour_7,cbwd_NE,-0.2535046860740047,0.2535046860740047,10
Hour_7,month^2,0.18670682082914636,0.18670682082914636,11
Hour_7,PRES^2,-0.17765204587428726,0.17765204587428726,12
Hour_7,month Ir,-0.16162572050546814,0.16162572050546814,13
Hour_7,Iws,-0.1495587348364792,0.1495587348364792,14
Hour_7,month,-0.14947198462760386,0.14947198462760386,15
Hour_7,Ir,-0.1436452804263959,0.1436452804263959,16
Hour_7,Iws Is,0.14146278444058227,0.14146278444058227,17
Hour_7,Iws Ir,-0.1392661991938401,0.1392661991938401,18
Hour_7,pm2.5 PRES,0.1349235072993883,0.1349235072993883,19
Hour_7,day pm2.5,0.13061975520226404,0.13061975520226404,20
Hour_7,month day,0.12916571598442447,0.12916571598442447,21
Hour_7,pm2.5 Iws,0.12658930748436803,0.12658930748436803,22
Hour_7,day DEWP,-0.1195084369049063,0.1195084369049063,23
Hour_7,month pm2.5,0.11890475509222931,0.11890475509222931,24
Hour_7,hour,0.11285249084067224,0.11285249084067224,25
Hour_7,hour^2,-0.10982180648448854,0.10982180648448854,26
Hour_7,DEWP TEMP,-0.1048864843473579,0.1048864843473579,27
Hour_7,PRES,0.09458506608191168,0.09458506608191168,28
Hour_7,month DEWP,-0.08734815548352659,0.08734815548352659,29
Hour_7,month PRES,0.08651027182108383,0.08651027182108383,30
Hour_7,month Iws,0.08506148559940481,0.08506148559940481,31
Hour_7,day TEMP,0.08344216024906731,0.08344216024906731,32
Hour_7,month TEMP,0.0767142528354117,0.0767142528354117,33
Hour_7,TEMP^2,-0.07562200798585667,0.07562200798585667,34
Hour_7,pm2.5 Ir,-0.07388745105293702,0.07388745105293702,35
Hour_7,DEWP Ir,-0.07367063218277407,0.07367063218277407,36
Hour_7,DEWP Iws,0.0681544076540996,0.0681544076540996,37
Hour_7,TEMP PRES,-0.06715923453693627,0.06715923453693627,38
Hour_7,DEWP Is,-0.06344384401091578,0.06344384401091578,39
Hour_7,pm2.5 DEWP,-0.055688855838542245,0.055688855838542245,40
Hour_7,TEMP Ir,0.05373995114658473,0.05373995114658473,41
Hour_7,hour Ir,-0.051992921066039484,0.051992921066039484,42
Hour_7,day^2,-0.04145072245297459,0.04145072245297459,43
Hour_7,Is,0.04002640496026531,0.04002640496026531,44
Hour_7,DEWP PRES,0.03989902624706247,0.03989902624706247,45
Hour_7,TEMP Iws,0.03913470256375181,0.03913470256375181,46
Hour_7,day,0.03721190486484086,0.03721190486484086,47
Hour_7,Iws^2,0.0335149128949517,0.0335149128949517,48
Hour_7,month Is,-0.03275826887094521,0.03275826887094521,49
Hour_7,pm2.5 TEMP,0.03245709509854019,0.03245709509854019,50
Hour_7,hour Iws,-0.02879730714707787,0.02879730714707787,51
Hour_7,pm2.5 Is,-0.027573354971084197,0.027573354971084197,52
Hour_7,PRES Ir,0.02494708871298469,0.02494708871298469,53
Hour_7,month hour,0.021395076011446867,0.021395076011446867,54
Hour_7,day Iws,-0.020114296792036964,0.020114296792036964,55
Hour_7,day PRES,-0.02004619748516031,0.02004619748516031,56
Hour_7,day Is,0.019646528394038913,0.019646528394038913,57
Hour_7,TEMP Is,-0.017771238066807644,0.017771238066807644,58
Hour_7,hour pm2.5,-0.013514309520714597,0.013514309520714597,59
Hour_7,PRES Iws,-0.006549301483957241,0.006549301483957241,60
Hour_7,day hour,0.006418993250335295,0.006418993250335295,61
Hour_7,Is Ir,0.005031503436455211,0.005031503436455211,62
Hour_7,day Ir,-0.004037830057151248,0.004037830057151248,63
Hour_7,Is^2,-0.003691451402824597,0.003691451402824597,64
Hour_7,hour PRES,0.003665843217176408,0.003665843217176408,65
Hour_7,PRES Is,0.003398548254262984,0.003398548254262984,66
Hour_7,hour Is,-0.0017855203756608794,0.0017855203756608794,67
Hour_7,Ir^2,0.0015913775525211594,0.0015913775525211594,68
Hour_7,TEMP,-0.00019156457025597387,0.00019156457025597387,69
Hour_8,pm2.5,1.3926531600224423,1.3926531600224423,1
Hour_8,cbwd_NW,-0.7449479831837771,0.7449479831837771,2
Hour_8,cbwd_SE,0.7319152218180749,0.7319152218180749,3
Hour_8,DEWP,0.3708596074786046,0.3708596074786046,4
Hour_8,pm2.5^2,-0.3378551796114984,0.3378551796114984,5
Hour_8,DEWP^2,0.33301652300053225,0.33301652300053225,6
